Zones,Parents,Data
Northern,Living with Parents,0.829123328
Northern,Living with Parents,0.707317073
Northern,Living with Parents,0.889380531
Northern,Living with Parents,0.78021978
Northern,Living with Parents,0.914814815
Northern,Living with Parents,0.897157191
Northern,Living with Parents,0.93129771
Northern,Living with Parents,0.858428805
Northern,Living with Guardians,0.12667162
Northern,Living with Guardians,0.280487805
Northern,Living with Guardians,0.057522124
Northern,Living with Guardians,0.120879121
Northern,Living with Guardians,0.003703704
Northern,Living with Guardians,0.030936455
Northern,Living with Guardians,0.034351145
Northern,Living with Guardians,0.076104746
Northern,Homeless,0.044205052
Northern,Homeless,0.012195122
Northern,Homeless,0.053097345
Northern,Homeless,0.098901099
Northern,Homeless,0.081481481
Northern,Homeless,0.071906355
Northern,Homeless,0.034351145
Northern,Homeless,0.065466448
Southern,Living with Parents,0.911722142
Southern,Living with Parents,0.790423317
Southern,Living with Parents,0.926687222
Southern,Living with Parents,0.795219124
Southern,Living with Parents,0.898826979
Southern,Living with Parents,0.944827586
Southern,Living with Guardians,0.044862518
Southern,Living with Guardians,0.082581541
Southern,Living with Guardians,0.041452552
Southern,Living with Guardians,0.078087649
Southern,Living with Guardians,0.074780059
Southern,Living with Guardians,0.034482759
Southern,Homeless,0.04341534
Southern,Homeless,0.126995142
Southern,Homeless,0.031860226
Southern,Homeless,0.126693227
Southern,Homeless,0.026392962
Southern,Homeless,0.020689655
Eastern,Living with Parents,1
Eastern,Living with Parents,0.616184113
Eastern,Living with Parents,0.748976808
Eastern,Living with Parents,0.92
Eastern,Living with Parents,0.083333333
Eastern,Living with Guardians,0
Eastern,Living with Guardians,0.257609503
Eastern,Living with Guardians,0.154160982
Eastern,Living with Guardians,0.08
Eastern,Living with Guardians,0
Eastern,Homeless,0
Eastern,Homeless,0.126206385
Eastern,Homeless,0.09686221
Eastern,Homeless,0
Eastern,Homeless,0.916666667
Western,Living with Parents,0.851885214
Western,Living with Parents,0.969107067
Western,Living with Parents,0.931034483
Western,Living with Parents,0
Western,Living with Parents,0
Western,Living with Guardians,0.076309355
Western,Living with Guardians,0.013965298
Western,Living with Guardians,0
Western,Living with Guardians,0
Western,Living with Guardians,0
Western,Homeless,0.07180543
Western,Homeless,0.016927634
Western,Homeless,0.068965517
Western,Homeless,0
Western,Homeless,0
N Eastern,Living with Parents,0.795918367
N Eastern,Living with Parents,0.607329843
N Eastern,Living with Parents,0.824561404
N Eastern,Living with Parents,0.928571429
N Eastern,Living with Parents,0.318181818
N Eastern,Living with Parents,0.590909091
N Eastern,Living with Parents,1
N Eastern,Living with Parents,0.583333333
N Eastern,Living with Guardians,0.204081633
N Eastern,Living with Guardians,0.062827225
N Eastern,Living with Guardians,0.096491228
N Eastern,Living with Guardians,0
N Eastern,Living with Guardians,0.590909091
N Eastern,Living with Guardians,0.318181818
N Eastern,Living with Guardians,0
N Eastern,Living with Guardians,0.388888889
N Eastern,Homeless,0
N Eastern,Homeless,0.329842932
N Eastern,Homeless,0.078947368
N Eastern,Homeless,0.071428571
N Eastern,Homeless,0.090909091
N Eastern,Homeless,0.090909091
N Eastern,Homeless,0
N Eastern,Homeless,0.027777778
Central,Living with Parents,0.769327379
Central,Living with Parents,0.818783616
Central,Living with Parents,0.654668166
Central,Living with Guardians,0.108010047
Central,Living with Guardians,0.134464212
Central,Living with Guardians,0.085489314
Central,Homeless,0.122662573
Central,Homeless,0.046752172
Central,Homeless,0.25984252
